rning: fbcunn not found. Falling back to cunn
Using 2-th gpu
Loading ./data/ptb.train.txt, size of data = 929589
Loading ./data/ptb.valid.txt, size of data = 73760
Loading ./data/ptb.test.txt, size of data = 82430
Network parameters:
{
max_grad_norm : 5
                    seq_length : 20
                    batch_size : 20
                    lr : 1
                    max_max_epoch : 13
                    rnn_size : 200
                    init_weight : 0.1
                    decay : 2
                    dropout : 0
                    layers : 2
                    vocab_size : 10000
                    max_epoch : 4
}
Creating a RNN LSTM network.
Num parameters: 4653200
Starting training.
epoch = 0.004, train perp. = 9917.064, wps = 4275, dw:norm() = 4.221, lr = 1.000, since beginning = 0 mins.
epoch = 0.104, train perp. = 7730.410, wps = 4757, dw:norm() = 3.346, lr = 1.000, since beginning = 0 mins.
epoch = 0.204, train perp. = 5728.267, wps = 4773, dw:norm() = 3.529, lr = 1.000, since beginning = 1 mins.
epoch = 0.304, train perp. = 4105.937, wps = 5433, dw:norm() = 4.424, lr = 1.000, since beginning = 1 mins.
epoch = 0.404, train perp. = 2886.329, wps = 5944, dw:norm() = 4.283, lr = 1.000, since beginning = 1 mins.
epoch = 0.504, train perp. = 2008.999, wps = 6301, dw:norm() = 4.758, lr = 1.000, since beginning = 1 mins.
epoch = 0.604, train perp. = 1370.326, wps = 6564, dw:norm() = 4.596, lr = 1.000, since beginning = 1 mins.
epoch = 0.703, train perp. = 931.947, wps = 6734, dw:norm() = 4.167, lr = 1.000, since beginning = 2 mins.
epoch = 0.803, train perp. = 630.145, wps = 6898, dw:norm() = 4.498, lr = 1.000, since beginning = 2 mins.
epoch = 0.903, train perp. = 420.860, wps = 7015, dw:norm() = 4.575, lr = 1.000, since beginning = 2 mins.
Validation set perplexity : 183.887
epoch = 1.003, train perp. = 281.168, wps = 6978, dw:norm() = 4.230, lr = 1.000, since beginning = 2 mins.
epoch = 1.103, train perp. = 237.495, wps = 7078, dw:norm() = 4.346, lr = 1.000, since beginning = 2 mins.
epoch = 1.203, train perp. = 213.957, wps = 7166, dw:norm() = 4.469, lr = 1.000, since beginning = 3 mins.
epoch = 1.303, train perp. = 196.454, wps = 7243, dw:norm() = 4.664, lr = 1.000, since beginning = 3 mins.
epoch = 1.402, train perp. = 183.457, wps = 7310, dw:norm() = 4.669, lr = 1.000, since beginning = 3 mins.
