lstm git:(master)  th main.lua warning: fbcunn not found. Falling back to cunn
Using 2-th gpu
Loading ./data/ptb.train.txt, size of data = 929589
Loading ./data/ptb.valid.txt, size of data = 73760
Loading ./data/ptb.test.txt, size of data = 82430
Network parameters:
{
  max_grad_norm : 10
  seq_length : 35
  batch_size : 20
  lr : 1
  max_max_epoch : 55
  rnn_size : 1500
  init_weight : 0.04
  decay : 1.15
  dropout : 0.65
  layers : 2
  vocab_size : 10000
  max_epoch : 14
}
Creating a RNN LSTM network.
Starting training.
epoch = 0.008, train perp. = 10460.885, wps = 2180, dw:norm() = 60.280, lr = 1.000, since beginning = 0 mins.
epoch = 0.108, train perp. = 8645.820, wps = 2572, dw:norm() = 3.872, lr = 1.000, since beginning = 1 mins.
epoch = 0.208, train perp. = 6667.409, wps = 2590, dw:norm() = 5.345, lr = 1.000, since beginning = 1 mins.
epoch = 0.308, train perp. = 5059.810, wps = 2596, dw:norm() = 5.300, lr = 1.000, since beginning = 2 mins.
epoch = 0.408, train perp. = 3790.844, wps = 2599, dw:norm() = 6.465, lr = 1.000, since beginning = 2 mins.
epoch = 0.509, train perp. = 2794.294, wps = 2601, dw:norm() = 9.138, lr = 1.000, since beginning = 3 mins.
epoch = 0.609, train perp. = 2020.446, wps = 2602, dw:norm() = 6.851, lr = 1.000, since beginning = 4 mins.
epoch = 0.709, train perp. = 1448.720, wps = 2603, dw:norm() = 7.333, lr = 1.000, since beginning = 4 mins.
epoch = 0.809, train perp. = 1027.301, wps = 2604, dw:norm() = 7.851, lr = 1.000, since beginning = 5 mins.
epoch = 0.910, train perp. = 722.436, wps = 2604, dw:norm() = 8.103, lr = 1.000, since beginning = 5 mins.
Validation set perplexity : 283.091
epoch = 1.010, train perp. = 478.635, wps = 2542, dw:norm() = 9.283, lr = 1.000, since beginning = 6 mins.
epoch = 1.110, train perp. = 407.008, wps = 2547, dw:norm() = 8.191, lr = 1.000, since beginning = 7 mins.
epoch = 1.210, train perp. = 368.769, wps = 2552, dw:norm() = 8.555, lr = 1.000, since beginning = 7 mins.
epoch = 1.310, train perp. = 335.553, wps = 2556, dw:norm() = 7.965, lr = 1.000, since beginning = 8 mins.
epoch = 1.411, train perp. = 310.004, wps = 2559, dw:norm() = 8.797, lr = 1.000, since beginning = 9 mins.
epoch = 1.511, train perp. = 289.720, wps = 2563, dw:norm() = 8.734, lr = 1.000, since beginning = 9 mins.
epoch = 1.611, train perp. = 273.003, wps = 2565, dw:norm() = 9.226, lr = 1.000, since beginning = 10 mins.
epoch = 1.711, train perp. = 259.363, wps = 2568, dw:norm() = 8.983, lr = 1.000, since beginning = 10 mins.
epoch = 1.812, train perp. = 248.041, wps = 2570, dw:norm() = 8.925, lr = 1.000, since beginning = 11 mins.
epoch = 1.912, train perp. = 237.765, wps = 2572, dw:norm() = 9.745, lr = 1.000, since beginning = 12 mins.
Validation set perplexity : 189.618
epoch = 2.012, train perp. = 229.155, wps = 2542, dw:norm() = 9.279, lr = 1.000, since beginning = 12 mins.
epoch = 2.112, train perp. = 221.446, wps = 2545, dw:norm() = 8.696, lr = 1.000, since beginning = 13 mins.
epoch = 2.213, train perp. = 215.109, wps = 2548, dw:norm() = 9.083, lr = 1.000, since beginning = 13 mins.
epoch = 2.313, train perp. = 208.798, wps = 2550, dw:norm() = 9.633, lr = 1.000, since beginning = 14 mins.
epoch = 2.413, train perp. = 203.158, wps = 2552, dw:norm() = 9.684, lr = 1.000, since beginning = 15 mins.
epoch = 2.513, train perp. = 197.977, wps = 2554, dw:norm() = 9.701, lr = 1.000, since beginning = 15 mins.
epoch = 2.613, train perp. = 193.329, wps = 2556, dw:norm() = 9.526, lr = 1.000, since beginning = 16 mins.
epoch = 2.714, train perp. = 189.301, wps = 2558, dw:norm() = 9.928, lr = 1.000, since beginning = 16 mins.
